PPID,FS,Unit,Level,Feature,Art,Size Grade,Weight (g),Chert,Cortex,Flake,Category,Modified,Thermal Alteration,Tool Class,Tool Class Comment,Pottery,Pottery Comment,Historic,Historic Comment,Comment,x,y,z
40,2017-051,N547E390,13,,21,"1/2""",3.6,TRUE,TRUE,TRUE,Shatter,FALSE,TRUE,,,FALSE,,FALSE,,,390.492,547.352,100.135
41,2017-051,N547E390,13,,22,"1/4""",1.6,TRUE,TRUE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,390.604,547.536,100.13
42,2017-051,N547E390,13,,23,"1/4""",0.8,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,390.846,547.701,100.163
43,2017-051,N547E390,13,,24,"1/4""",1.8,TRUE,TRUE,TRUE,Complete,FALSE,FALSE,,,FALSE,,FALSE,,,390.929,547.79,100.156
165,2017-081,N547E391,11,,1,"1/2""",1.5,TRUE,FALSE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.159,547.07,100.199
166,2017-081,N547E391,11,,2,"1/2""",6.6,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.14,547.504,100.212
167,2017-081,N547E391,11,,3,"1/2""",1.9,TRUE,TRUE,TRUE,Proximal,FALSE,TRUE,,,FALSE,,FALSE,,,391.214,547.549,100.22
168,2017-081,N547E391,11,,4,"1/4""",1.5,TRUE,FALSE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.868,547.647,100.236
169,2017-081,N547E391,11,,5,"1/2""",1.7,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.728,547.763,100.208
170,2017-081,N547E391,11,,6,"1/2""",1.1,TRUE,FALSE,TRUE,Distal,FALSE,FALSE,,,FALSE,,FALSE,,,391.696,547.733,100.212
171,2017-081,N547E391,11,,7,"1/2""",4.6,TRUE,FALSE,FALSE,,FALSE,FALSE,Other,Pebble,FALSE,,FALSE,,,391.16,547.838,100.197
727,2017-194,N548E391,11,,1,"3/4""",8.1,TRUE,TRUE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.946,547.436,100.22
725,2017-192,N548E391,10,,1,"1/2""",3.2,TRUE,FALSE,TRUE,Proximal,FALSE,FALSE,,,FALSE,,FALSE,,,391.782,548.576,100.354
726,2017-192,N548E391,10,,2,"1/2""",1.4,TRUE,FALSE,TRUE,Complete,FALSE,TRUE,,,FALSE,,FALSE,,,391.722,548.087,100.375
49,2017-051,N547E390,13,,25,"3/4""",10.5,TRUE,TRUE,TRUE,Complete,TRUE,FALSE,Uniface,unifacially modified flake,FALSE,,FALSE,,,390.239,547.09,100.121
50,2017-051,N547E390,13,,26,"1/2""",5.7,TRUE,FALSE,TRUE,Distal,TRUE,TRUE,Biface,projectile point,FALSE,,FALSE,,Big Sandy?,390.156,547.599,100.122
